
Word 1		Word 2		Subsumer					Similarity

কান		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
দাঁত		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
নাক		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
চুল		হাত		সমূহ গাদা সমষ্টি পুঞ্জ					1.222392421336448
মুখ		হাত		শারীরিক_ভাগ শারীরিক_অংশ					2.1699250014423126
মাথা		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
পা		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
আঙুল		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
কব্জি		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.7369655941662063
হাঁটু		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.7369655941662063
গোড়ালি		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.7369655941662063
চোখ		হাত		ভাগ অংশ					0.5145731728297582
জিভ		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.459431618637297
ত্বক		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
গলা		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
কনুই		হাত		শারীরিক_ভাগ শারীরিক_অংশ					1.459431618637297
পেট		হাত		শারীরিক_ভাগ শারীরিক_অংশ					2.1699250014423126
কোমর		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
ঠোঁট		হাত		বাহ্য_শারীরিক_ভাগ বাহ্য_শারীরিক_অঙ্গ					2.321928094887362
হাত		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
দাঁত		কান		শারীরিক_ভাগ শারীরিক_অংশ					0.9068905956085185
নাক		কান		জ্ঞানেন্দ্রিয়					2.584962500721156
চুল		কান		প্রাকৃতিক_বস্তু নৈসর্গিক_বস্তু					0.5305147166987798
মুখ		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
মাথা		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
পা		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
আঙুল		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
কব্জি		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
হাঁটু		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
গোড়ালি		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
চোখ		কান		জ্ঞানেন্দ্রিয়					2.584962500721156
জিভ		কান		অঙ্গ শারীরিক_অঙ্গ অঙ্গ-প্রত্যঙ্গ					1.3785116232537296
ত্বক		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
গলা		কান		অঙ্গ শারীরিক_অঙ্গ অঙ্গ-প্রত্যঙ্গ					1.584962500721156
কনুই		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.0
পেট		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
কোমর		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.1154772174199357
ঠোঁট		কান		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
হাত		দাঁত		শারীরিক_ভাগ শারীরিক_অংশ					1.263034405833794
কান		দাঁত		শারীরিক_ভাগ শারীরিক_অংশ					0.9068905956085185
